Disciplina;Turma;Docente;Horario;Local;Situacao;Vagas
GCETENS133 - PROJETO INTERDISCIPLINAR III;Turma 02;JOAO LUIZ CARNEIRO CARVALHO (34h);6M23;LAB 09;ABERTA;15/30 alunos
GCETENS133 - PROJETO INTERDISCIPLINAR III;Turma 03;JOAO LUIZ CARNEIRO CARVALHO (34h);6T45;LAB 09;ABERTA;9/30 alunos
GCETENS133 - PROJETO INTERDISCIPLINAR III;Turma 04;A DEFINIR;6T45;SALA 211;A DEFINIR DOCENTE;7/30 alunos
GCETENS140 - PROJETO INTERDISCIPLINAR IV;Turma 01;CLAUDINEIA DE SOUZA SOUZA (34h);3T23;LAB 103;ABERTA;7/30 alunos
GCETENS140 - PROJETO INTERDISCIPLINAR IV;Turma 02;CLAUDINEIA DE SOUZA SOUZA (34h);5M23;SALA 204;ABERTA;1/30 alunos
GCETENS140 - PROJETO INTERDISCIPLINAR IV;Turma 03;EDNA LOBO MACHADO (34h);3M45;SALA 02;ABERTA;12/30 alunos
GCETENS140 - PROJETO INTERDISCIPLINAR IV;Turma 04;SIRLANDIA REIS DE OLIVEIRA TEIXEIRA (34h);3M45;SALA 01;ABERTA;2/30 alunos
GCETENS509 - PROJETO INTERDISCIPLINAR NA COMUNIDADE;Turma 01;LUCIENE GOMES (34h);6M23;LAB 101;ABERTA;5/30 alunos
GCETENS375 - PSICOLOGIA DAS RELAÇÕES HUMANAS;Turma 01;NELMA DE CASSIA SILVA SANDES GALVAO (68h) e SIRLANDIA REIS DE OLIVEIRA TEIXEIRA (68h);24M45;LAB 03;ABERTA;14/30 alunos
GCETENS192 - QUIMICA ANALÍTICA;Turma 01;HILDA COSTA DOS SANTOS TALMA (68h);35M45;SALA 211/SALA 208;ABERTA;2/15 alunos
GCETENS364 - QUÍMICA E ESTRUTURA DE POLÍMEROS;Turma 01;KEILA MACHADO DE MEDEIROS (51h) e ADILLYS MARCELO DA CUNHA SANTOS (17h);24M45;LAB 203;ABERTA;4/15 alunos
GCETENS370 - QUÍMICA ORGÂNICA;Turma 01;RAFAELA OLIVEIRA FERREIRA (68h);24T23;LAB 01;ABERTA;3/15 alunos
GCETENS211 - RADIACAO SOLAR;Turma 01;JADIEL DOS SANTOS PEREIRA (68h);24M23;LAB 06;ABERTA;3/25 alunos
GCETENS380 - REOLOGIA E PROCESSAMENTO DOS MATERIAIS POLIMÉRICOS;Turma 01;ADILLYS MARCELO DA CUNHA SANTOS (68h);35T54;LAB 203;ABERTA;4/15 alunos
GCETENS385 - SELEÇÃO DE MATERIAIS;Turma 01;AURISTELA CARLA DE MIRANDA (51h);5T123;LAB 08;ABERTA;3/15 alunos
GCETENS322 - SISTEMA DE PRODUÇÃO ENXUTA;Turma 01;CRISTIANE AGRA PIMENTEL (68h);24T54;SALA 02;ABERTA;9/30 alunos
GCETENS404 - SOLIDIFICAÇÃO EM METAIS;Turma 01;FABIO ANDRE LORA (68h);4T23 6T54;LAB 203 - LACAM;ABERTA;1/15 alunos
GCETENS383 - TECNOLOGIA DE ELASTÔMEROS E TERMOFIXOS;Turma 01;ADILLYS MARCELO DA CUNHA SANTOS (51h);5T123;LAB 203;ABERTA;1/15 alunos
GCETENS212 - TECNOLOGIA DE SISTEMAS FOTOVOLTAICOS;Turma 01;JADIEL DOS SANTOS PEREIRA (68h);24M45;LAB 06;ABERTA;10/25 alunos
GCETENS311 - TECNOLOGIAS DE PROCESSOS DE FABRICAÇÃO;Turma 01;JOSE FLAVIO RIQUE JUNIOR (68h);56T54;SALA 208;ABERTA;8/30 alunos
GCETENS166 - TERMODINAMICA;Turma 01;DANIEL DO CARMO SILVA RIBEIRO (68h);35T23;SALA 02;ABERTA;22/45 alunos
GCETENS147 - TRABALHO DE CONCLUSAO DE CURSO;Turma 01;EDNA LOBO MACHADO (51h);6T123;SALA 204;ABERTA;36/45 alunos
GCETENS377 - TRANSFERÊNCIA DE CALOR E MASSA;Turma 01;AROLDO FELIX DE AZEVEDO JUNIOR (68h);24M45;SALA DE REUNIÕES;ABERTA;6/20 alunos
GCETENS372 - TRANSFORMAÇÕES DE FASES EM METAIS;Turma 01;MARCELO BATISTA DE QUEIROZ (68h);46T23;LAB 08;ABERTA;2/15 alunos
GCETENS217 - TRANSPORTE E LOGISTICA;Turma 01;KALIL FIGUEIREDO ALMEIDA (51h);4T54  4N1;SALA 204;ABERTA;5/30 alunos
GCETENS111 - UNIVERSIDADE, SOCIEDADE E AMBIENTE;Turma 01;CASSI LADI REIS COUTINHO (68h);5T123 7T3;SALA 01;ABERTA;32/45 alunos
GCETENS111 - UNIVERSIDADE, SOCIEDADE E AMBIENTE;Turma 02;CASSI LADI REIS COUTINHO (68h);5M234 7M3;LAB 04;ABERTA;15/45 alunos
