Disciplina;Turma;Docente;Horario;Local;Situacao;Vagas
GCETENS167 - ELETROMAGNETISMO;Turma 01;ERICO GONCALVES DE FIGUEIREDO (68h);24T54;SALA 211;ABERTA;10/30 alunos
GCETENS323 - EMPREENDEDORISMO E INOVAÇÃO;Turma 01;BRUNO DE MENEZES MOREIRA (68h);23T23;SALA 208 / LAB 09;ABERTA;10/30 alunos
GCETENS307 - ENERGIA, DESENVOLVIMENTO E SUSTENTABILIDADE;Turma 01;BRUNO MOTTA OLIVEIRA (51h);3T123;SALA 207;ABERTA;51/50 alunos
GCETENS552 - ENERGIA EÓLICA;Turma 01;ROBERTO JOSE BATISTA CAMARA (68h);35M45;LAB 08;ABERTA;9/30 alunos
GCETENS320 - ENGENHARIA DE PROCESSOS E NEGÓCIOS;Turma 01;ERON PASSOS ANDRADE (51h);3T54  3N1;LAB 09;ABERTA;9/30 alunos
GCETENS328 - ENGENHARIA DO PRODUTO;Turma 01;OLIVER SILVA COSTA BARRETO (68h);46T23;SALA 208;ABERTA;2/30 alunos
GCETENS362 - ENSAIOS DOS MATERIAIS;Turma 01;AURISTELA CARLA DE MIRANDA (51h);2T54  2N1;SALA 208;ABERTA;3/15 alunos
GCETENS308 - ERGONOMIA E SEGURANÇA DO TRABALHO;Turma 01;CRISTIANE AGRA PIMENTEL (68h);24T23;SALA 02;ABERTA;12/30 alunos
GCETENS316 - ESTRATÉGIA E ORGANIZAÇÕES;Turma 01;ERON PASSOS ANDRADE (68h);24T23;LAB 09;ABERTA;8/30 alunos
GCETENS145 - FENOMENOS DE TRANSPORTE;Turma 01;DANIEL DO CARMO SILVA RIBEIRO (68h);35T45;SALA 02;ABERTA;26/45 alunos
GCETENS143.P - FENOMENOS ELETROMAGNETICOS- PRATICA;Turma 01;JADIEL DOS SANTOS PEREIRA (34h);6M23;LAB 06;ABERTA;6/15 alunos
GCETENS143.P - FENOMENOS ELETROMAGNETICOS- PRATICA;Turma 02;ERICO GONCALVES DE FIGUEIREDO (34h);6T23;LAB 06;ABERTA;1/15 alunos
GCETENS143.P - FENOMENOS ELETROMAGNETICOS- PRATICA;Turma 03;JADIEL DOS SANTOS PEREIRA (34h);6M45;LAB 06;ABERTA;5/15 alunos
GCETENS143.P - FENOMENOS ELETROMAGNETICOS- PRATICA;Turma 04;ERICO GONCALVES DE FIGUEIREDO (34h);6T54;LAB 06;ABERTA;6/15 alunos
GCETENS143.T - FENOMENOS ELETROMAGNETICOS- TEORICA;Turma 01;REJANE CRISTINA DORN (68h);35M23;SALA 208;ABERTA;7/30 alunos
GCETENS143.T - FENOMENOS ELETROMAGNETICOS- TEORICA;Turma 02;REJANE CRISTINA DORN (68h);35T23;SALA 208;ABERTA;11/30 alunos
GCETENS129.P - FENOMENOS MECANICOS- PRATICA;Turma 01;ROSIVALDO XAVIER DA SILVA (34h);4T12;LAB 04;ABERTA;15/15 alunos
GCETENS129.P - FENOMENOS MECANICOS- PRATICA;Turma 02;ROSIVALDO XAVIER DA SILVA (34h);4T34;LAB 04;ABERTA;12/15 alunos
GCETENS129.P - FENOMENOS MECANICOS- PRATICA;Turma 03;ROSIVALDO XAVIER DA SILVA (34h);4T5  4N1;LAB 04;ABERTA;6/15 alunos
GCETENS129.P - FENOMENOS MECANICOS- PRATICA;Turma 04;JOAO PAULO CAVALCANTE OLIVEIRA (34h);4M23;LAB 04;ABERTA;10/15 alunos
GCETENS129.P - FENOMENOS MECANICOS- PRATICA;Turma 05;JOAO PAULO CAVALCANTE OLIVEIRA (34h);4M45;LAB 04;ABERTA;14/15 alunos
GCETENS759 - FENÔMENOS MECÂNICOS PRÁTICA;Turma 01;ROSIVALDO XAVIER DA SILVA (34h);4T34 (18/08/2025 - 13/12/2025);A definir;ABERTA;1/1 alunos
GCETENS129.T - FENOMENOS MECANICOS- TEORICA;Turma 01;JEMIMA PEREIRA GUEDES (68h);35M23;SALA 206;ABERTA;33/45 alunos
GCETENS129.T - FENOMENOS MECANICOS- TEORICA;Turma 02;JEMIMA PEREIRA GUEDES (68h);35T54;SALA 206;ABERTA;24/30 alunos
GCETENS207 - FISICO-QUIMICA;Turma 01;DANIEL DO CARMO SILVA RIBEIRO (68h);24M23;SALA 206 / LAB INFORMÁTICA 2;ABERTA;2/30 alunos
GCETENS356 - FONTES DE ENERGIA E TECNOLOGIAS DE CONVERSÃO;Turma 01;ROBERTO JOSE BATISTA CAMARA (68h);35M23;LAB 08;ABERTA;11/20 alunos
GCETENS354 - FUNDAMENTOS DA MATEMÁTICA;Turma 01;SARA RUTH PIRES BISPO (68h);46M23;SALA 207;ABERTA;22/60 alunos
GCETENS354 - FUNDAMENTOS DA MATEMÁTICA;Turma 02;SARA RUTH PIRES BISPO (68h);46T23;SALA 203;ABERTA;15/60 alunos
GCETENS354 - FUNDAMENTOS DA MATEMÁTICA;Turma 04;SARA RUTH PIRES BISPO (68h);46T45;SALA 206;ABERTA;11/40 alunos
GCETENS205 - FUNDAMENTOS DE BIOTECNOLOGIA;Turma 01;AROLDO FELIX DE AZEVEDO JUNIOR (68h);24M23;SALA DE REUNIÕES;ABERTA;16/45 alunos
GCETENS184 - FUNDAMENTOS DE CONTROLE;Turma 01;LUIZ HENRIQUE SANTOS SILVA (102h);24M345;LAB 204;ABERTA;5/30 alunos
GCETENS215 - FUNDAMENTOS DE ENGENHARIA ECONOMICA;Turma 01;LUIS OSCAR SILVA MARTINS (51h);5T54  5N1;SALA 01;ABERTA;21/30 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 01;JOELMA CERQUEIRA FADIGAS (34h);3T23;LAB 01;ABERTA;5/15 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 02;JACIRA TEIXEIRA CASTRO (34h);3T23;LAB 02;ABERTA;9/15 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 03;JOELMA CERQUEIRA FADIGAS (34h);3T54;LAB 01;ABERTA;10/15 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 04;JACIRA TEIXEIRA CASTRO (34h);3M23;LAB 02;ABERTA;8/15 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 05;SERGIO ANUNCIACAO ROCHA (34h);3M23;LAB 01;ABERTA;10/15 alunos
GCETENS131.P - FUNDAMENTOS DE QUIMICA II- PRATICA;Turma 06;JACIRA TEIXEIRA CASTRO (34h);3M45;LAB 02;ABERTA;12/15 alunos
GCETENS131.T - FUNDAMENTOS DE QUIMICA II- TEORICA;Turma 01;JOELMA CERQUEIRA FADIGAS (34h);5T23;SALA 207;ABERTA;39/46 alunos
GCETENS131.T - FUNDAMENTOS DE QUIMICA II- TEORICA;Turma 02;JACIRA TEIXEIRA CASTRO (34h);5M45;SALA 202;ABERTA;40/48 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 01;PEDRO ROCHA BARBOSA (34h);5M23;LAB 01;ABERTA;10/15 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 03;RAFAELA OLIVEIRA FERREIRA (34h);5T23;LAB 02;ABERTA;7/15 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 06;RAFAELA OLIVEIRA FERREIRA (34h);5T45;LAB 02;ABERTA;12/15 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 07;PEDRO ROCHA BARBOSA (34h);5M45;LAB 01;ABERTA;5/15 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 09;SERGIO ANUNCIACAO ROCHA (34h);4M23;LAB 01;ABERTA;8/10 alunos
GCETENS115.P - FUNDAMENTOS DE QUÍMICA I- PRATICA;Turma 10;SERGIO ANUNCIACAO ROCHA (34h);4T23;LAB 01;ABERTA;9/10 alunos
GCETENS115.T - FUNDAMENTOS DE QUÍMICA I- TEORICA;Turma 01;PEDRO ROCHA BARBOSA (34h);3M45;SALA 202;ABERTA;18/60 alunos
